AA13,Pygmalion,1938,0.5,LuB0
AA13,Pygmalion,1938,0.2,HH15
AAl20,Betsy's Wedding,1990,0. 8,VM9
AbF10,Ms.~45,1981,0.8,MiW22
AbF27,Body Snatchers,1994,0.85,PK5
ABo10,And God Spoke,1993,0.6,CDM80
AC20,The Great Impersonation,1935,0.9,Z2110
ACy10,Les Amants de Verone,1949,0.9,GC15
AdI15,Perdita Durango,1997,0.1,RoA4
AdL20,Lolita,1997,0.8,StK6
AdL25,Unfaithful,2002,0.9,ClC18
ADv15,Under Siege,1992,0.7,IMT10
ADv22,A Perfect Murder,1998,0.85,H50
ADT18,House of Wax,1953,0.8,C91
ADx35,To Woody Allen with Love,1983,0.3,WA9
ADx39,Babel Opera,1983,0. 6,JLo27
ADx45,L'Oevre au Noir,1988,0.1,JJA10
ADx45,L'Oevre au Noir,1988,0.1,ACv10
ADw40,Rebecca of Sunnybrook Farm,1938,0.8,MaN30
ADw45,The Three Musketeers,1939,0.7,RVL14
ADw75,Tennessee's Partner,1954,0.81,CBa30
AEG25,The Ghost Breaker,1922,0.9,CDM7
AEG70,The Eddie Cantor Story,1953,0.8,AEG60
AG40,Napoleon,1934,0.99,AG20
AG50,J'accuse,1937,0.99,AG10
AgH15,The Secret Garden,1993,0.9,FWx20
AgH19,Washington Square,1997,0.8,WW64
AII1,The Adventures of Scaramouche,1964,0.9>,GSy11
AHa10,The Lion in Winter,1968,0.8,PeG5
AK59,The Private Life of Don Juan,1934,0.6,AC5
AKe5,With Honors,1994,0.2,PM12
AKe5,With Honors,1994,0.2,TGi28
AKe5,With Honors,1994,0.2,JaB2
AKe5,With Honors,1994,0.2,PWr12
AKe5,With Honors,1994,0.2,MBr19
AKj14,The Cadaver,1963,0.8,ACj120
AkK16,Throne of Blood,1956,0.9,OW6
AkK20,Yojimbo,1961,0.3,StH5
AkK28,Ran,1986,0. 3,PeB6
AL13,Castle on the Hudson,1940,0.9,C89
AL20,The Long Night,1947,0.9,MC5
AL27,The Journey,1959,0.6,RWi1
AL27,The Journey,1959,0.3,C127
AlH38,Let's do it Again,1953,0.9,LMC15
ALi15,The Wild Life,1984,0.8,AmH10
AM35,A Night in Casablanca,1946,0.5,C127
AM36,Angel On My Shoulder,1946,0.8,AlH24
AMa29,Charley's Aunt,1941,0.9,WaF48
AMg10,Castle of Blood,1964,0.5,FM3
AMi19,The Talented Mr. Ripley,2000,0.9,RCl10
AnL15,"Crouching Tiger, Hidden Dragon",2000,0.3,KgH15
AnL15,"Crouching Tiger, Hidden Dragon",2000,0.3,KgH10
AnM35,Cimmaron,1960,0.9,WR40
AnP8,The Lady Vanishes,1979,0.8,H31
ATn12,Anna and the King,1999,0.8,WLa42
AnQ10,The Buccaneer,1958,0.95,CDM68
APl10,Let's Get Romantic,1990,0.85,1-Jan
ARa10,The Shakiest Gun in the West,1968,0.9,NML26
ArH236,The Babe,1992,0.9,RdR70
ArL29,Hold That Ghost,1941,0.8,WaF10
ArL36,The Phantom of the Opera,1943,0.9,RuJ3
ArP5,Bonnie and Clyde,1967,0. 6,JHL12
ARw12,Somebody to Love,1994,0.9,FF6
ASa31,Daddy Long Legs,1931,0.9,MaN40
ASa34,Rebecca of Sunnybrook Farm,1932,0.9,MaN30
AVo10,"Die T\""ur mit den Sieben Schl\:ossern",1962,0.9,NoL20
AyM10,Bloodthirsty Butchers,1970,0.9,GeK5
AyM15,The Man With two Heads,1972,0.85,RM3
AyW11,American Werewolf in Paris,1997,0.8,ILa34
BaD28,All Night Long,1961,0.3,OW7
BaD39,The Man who Haunted Himself,1970,0.7,H56
BaL1,Strictly Ballroom,1992,0.8,ChW3
BaP10,A Cool Breeze,1972,0.9,IH14
BB8,Novecento,1976,0.5,LuV20
BBe1,The Goldiggers of 1935,1935,0.5,RdR10
BBz10,Allegro Non Troppo,1990,0.8,WD103
BCl1,Deathdream,1972,0. 8,NoL45
BCl4,Murder by Decree,1979,0. 8,H9
BDC8,Galaxy of Terror,1981,0.5,RS2
BDn7,The Constant Nymph,1933,0.95,AdB21
BdP10,Phantom of The Paradise,1974,0.6,TFi20
BdP10,Phantom of The Paradise,1974,0.1,RW1
BdP10,Phantom of The Paradise,1974,0.1,WlD36
BdP10,Phantom of The Paradise,1974,0.1,H73
BdP10,Phantom of The Paradise,1974,0.1,ALe2
BdP11,Obsession,1976,0.5,H65
BdP14,Dressed to Kill,1980,0.6,H73
BdP17,Body Double,1984,0. 1,H65
BdP17,Body Double,1984,0. 2,H51
BdP21,Casualties of War,1989,0.3,SE4
BdP25,Raising Cain,1992,0.2,MP35
BdP25,Raising Cain,1992,0.2,H73
BdP25,Raising Cain,1992,0.15,TYg25
BdP26,Carlito's Way,1993,0.6,RaW59
BdP30,Mission Impossible,1996,0.8,JD17
BE7,Breakfast at Tiffany's,1961,0.6,HCs4
BE20,The Return of the Pink Panther,1974,0.3,H52
BE34,Victor/Victoria,1982,0.6,RhS20
BE34,Victor/Victoria,1982,0.2,BF8
BE45,Switch,1991,0.8,VM28
BF5,Sweet Charity,1968,0.7,FF6
BF6,Cabaret,1972,0.4,HCs4
BF6,Cabaret,1972,0.3,BE7
BF8,All That Jazz,1979,0.5,RhS20
BF9,Star 80,1983,0.9,CBe10
BFo13,The Slipper and The Rose,1976,0.6,WlJ12
BiA10,Les Miserables,1998,0.8,LM32
BsK19,The Three Ages,1925,0.5,DWG52
BLw10,"The Favor, the Watch, and the Very Big Fish",1992,0.8,ChC30
BoS75,The Omega Man,1971,0.8,UbR10
BPr10,Anna Karenina,1997,0.8,JuD16
BRf20,The Postman Always Rings Twice,1981,0.9,TG30
BSc28,Single White Female,1992,0.3,InB27
BSc28,Single White Female,1992,0.2,AdL10
BSe10,Dial M for Murder,1981,0.8,H50
BSi13,City of Angels,1998,0.9, WiW20
BSp10,That Darn Cat,1997,0.9,RoS92
BTh13,Dr.Dolittle,1998,0.9>,RiF25
BVi12,The Man from Yesterday,1932,0.5,DWG27
BW4,Double Indemnity,1944,0.1,HH12
BW8,Sunset Boulevard,1950,0.5,W73
BW17,The Apartment,1960,0.1,EG11
ByH8,Treasure Island,1950,0.9,VF36
C91,The Mystery of the Wax Museum,1933,0.6,C87
C112,The Adventures of Robinhood,1938,0.9,ADw17
C117,Daughters Courageous,1938,0. 8,C113
C118,The Private Lives of Elizabeth and Essex,1939,0.7,LMe10
C127,Casablanca,1942,0.3,HAA10
C131,Passage to Marseilles,1944,0.4,C127
C143,The Breaking Point,1950,0.8,HH27
C146,Force of Arms,1951,0. 8,FB27
C157,The Jazz Singer,1953,0.9,AC8
C165,The Vagabond King,1956,0. 6,FLl89
C171,The Adventures of Huckleberry Finn,1960,0.8,RTh6
CAL50,The Count of Monte Christo,1961,0.8,RVL10
CaR5,The Comic,1969,0.3,OW1
CaR5,The Comic,1969,0.5,CBm10
CaR20,Dead Men Don't Wear Plaid,1982,0.2,IH1
CaR20,Dead Men Don't Wear Plaid,1982,0.2,ElN15
CaR20,Dead Men Don't Wear Plaid,1982,0.2,HH28
CaR20,Dead Men Don't Wear Plaid,1982,0.2,KV40
CaR31,Sibling Rivalry,1990,0.8,H53
CaR35,Fatal Instinct,1993,0. 6,AdL10
CaR35,Fatal Instinct,1993,0. 2,PVh20
CaR35,Fatal Instinct,1993,0. 1,Jas44
CBu8,Notorious,1989,0. 9,H43
CBu10,Curiosity Kills,1990,0.7,H1
CBw29,Anna Karenina,1935,0.9,10-Mar
CC77,Modern Times,1936,0.1,RC10
CC79,The Goldrush,1942,0.9,CC73
CCG15,The Music Box,1989,0.4,RMq10
CCr12,Whispers in the Dark,1992,0.4,BdP14
CD28,The Thief of Bagdad,1981,0.9,MP4
CDM32,The Squaw Man,1918,0.9,CDM4
CDM55,The Squaw Man,1932,0. 9,CDM4
CDM80,The Ten Commandments,1956,0.99,CDM45
CDr10,Vampyr,1932,0.3,JC1
CDr9,The Passion of Joan of Arc,1928,0.8,CDM22
CEa40,A Perfect World,1993,0.7,GSt17
CEa42,Power of One,1997,0.8,H52
CFr10,Intimate Relations,1953,0. 9,JC9
CGl50,The Last Days of Pompeii,1928,0.8,ElR10
CGl90,Faust and the Devil,1949,0.75,NOx20
CGl115,Carmen di Travestere,1962,0.8,ChV26
CH5,Anthony and Cleopatra,1971,0.7,CDM59
CH5,Anthony and Cleopatra,1971,0.2,GPa2.
CHa20,The Hand that Rocks the Cradle,1991,0.3,AdL10
ChG10,Attack of the 50-foot Woman,1993,0.9,NJu9
ChJ20,Boule de Suif,1945,0.9,MhR1
ChJ36,Madame DuBarry,1954,0.9,WlD20
ChS20,Father of the Bride,1991,0.8,VM9
ChS24,I Love Trouble,1994,0.6,GC30
ChV8,The Lady in Question,1940,0.9,MPa3
ChV26,The Loves of Carmen,1948,0.7,RaW20
ChV26,The Loves of Carmen,1948,0.2,ChV20
ChV46,A Farewell to Arms,1957,0.9,FB27
ChW2,Good News,1947,0.9,NGr10
ChW12,High Society,1956,0.9,GC21
ChW22,The Unsinkable Molly Brown,1964,0.4,JN19
ChW25,"Walk, Don't Run",1966,0.8,GSt13
CJ4,Lost Horizon,1973,0.8,FC27
CJ4,Lost Horizon,1973,0.1,RWi31
ClL25,Les Miserables,1995,0.7,LM32
CMF1,Vanity Fair,1932,0.8,RM8
CNo1,Following,1999,0.3,H48
CoB3,The Years Between,1946,0.5,BVi12
CoB6,King Solomon's Mines,1950,0.9,RoS6
CPR10,A Challenge for Robin Hood,1968,0.9,C112
CrR10,Seven Capital Sins,1951,0.2,H27
CSr10,Carmen,1983,0.5,CDM15
CuB37,The Merry Widow,1952,0.9,EL61
CuB39,Miss Sadie Thompson,1953,0.8,LM11
CuB40,Beau Brummel,1954,0.8,HB40
CyE30,Mysterious Island,1961,0.8.,LuH10
CyE40,De Sade,1961,0.8,PeB4
DaB28,Tea for Two,1950,0.8,HWx21
DaB30,Painting the Clouds with Sunshine,1951,0.9,RdR10
DaB33,Where's Charley?,1952,0.5,AMa29
DaG3,The Count of Monte Christo,1974,0.9,CAL50
DaG6,Gray Lady Down,1978,0.9,RWB20
DaM30,Journey into Fear,1976,0.9,NF16
DAz23,Nana,1934,0. 7,JR5
DBd10,East of Elephant Rock,1981,0.9,WW46
DBo10,Trainspotting,1996,0.2,StK9
DBo12,A Life Less Ordinary,1997,0.3,FC25
DBo15,The Beach,2000,0.3,PeB3
DBo15,The Beach,2000,0.1,FFC8
DBo15,The Beach,2000,0.1,MCi2
DBr10,The Man Who Wouldn't Talk,1940,0.9,WKH14
DBu10,Lily of the Dust,1924,0.8,JKf10
DBy10,They Saved Hitler's Brain,1963,0.1,AtR10
DCh15,One Million Years B.C.,1967,0.9,HRo5
DCr20,The Fly,1986,0.7,KuN14
DCr22,Dead Ringers,1991,0.5,PW1
DeD65,The Badlanders,1958,0.9,IH14
DiD10,Astero,1959,0.85,DGz10
DkP3,You Can't Run Away From It,1956,0.9,FC25
DL5,Great Expectations,1946,0. 2,StW9
DL10,Hobson's Choice,1954,0.8,ThB55
DLR3,To Catch a Butterfly,1963,0. 8,MLR43
DLR5,Madame X,1965,0.9,SW13
DLy8,Blue Velvet,1986,0.9,VM8
DM101,The Vanishing Lady,1955,0.7,H31
DMa10,Things Change,1988,0. 3,FC24
DMa10,Things Change,1988,0. 3,HAs3
DME10,The Sandlot,1993,0.25,MRt7
DME10,The Sandlot,1993,0.25,BLv10
DME10,The Sandlot,1993,0.25,Z9010
DME10,The Sandlot,1993,0.25,PAR10
DMi25,The Opposite Sex,1956,0.85,GC19
DMi32,Back Street,1961,0.9,RoS13
DoH10,Beau Geste,1966,0.9,W77
DoS16,The Thirty-nine Steps,1978,0.8,RaT26
DPs13,Galaxy Quest,1999,0.7,RWi38
DRa10,East Side Story,1997,0.1,GAv10
DRa10,East Side Story,1997,0.8,UNS
DPa10,Hercules Returns,1992,0.8,PtF10
DRi10,"Farewell, My Lovely",1975,0.85,EDm22
DS6,The Verdict,1946,0.85,MiG3
DS13,The Invasion of the Body Snatchers,1954,0.8,Wi3
DS20,The Killers,1964,0.9,RSi20
DSk49,Magnificent Obsession,1954,0. 9,JMS30
