H1,Always Tell Your Wife,Se.Hicks,R,
H1,Always Tell Your Wife,Hitchcock,R,
H2,Number Thirteen,Hitchcock,R,
H3,Woman to Woman,Hitchcock,R,
H3,Woman to Woman,Cutts,N,
H4,The Passionate Adventure,Hitchcock,R,
H4,The Passionate Adventure,Cutts,N,
H5,The Blackguard,Hitchcock,R,
H5,The Blackguard,Cutts,N,
H7,The Pleasure Garden,Hitchcock,R,
H8,The Mountain Eagle,Hitchcock,R,
H9,The Lodger: A Story of The London Fog,Hitchcock,R,
H10,Downhill,Hitchcock,R,
H11,Easy Virtue,Hitchcock,R,
H12,The Ring,Hitchcock,R,
H13,The Farmer's Wife,Hitchcock,R,
H14,Champagne,Hitchcock,R,
H15,Harmony Heaven,Hitchcock,R,
H15,Harmony Heaven,Thomas Bentley,N,
H16,The Manxman,Hitchcock,R,
H17,Blackmail,Hitchcock,R,
H18,Elstree Calling,Brunel,R,
H18,Elstree Calling,Hitchcock,N,
H18,Elstree Calling,Andr\'e Charlot,N,
H18,Elstree Calling,Jack Hulbert,N,
H18,Elstree Calling,Paul Murray,N,
H19,Juno And The Paycock,Hitchcock,R,
H20,Murder!,Hitchcock,R,
H21,The Skin Game,Hitchcock,R,
H22,Rich and Strange,Hitchcock,R,
H23,Number Seventeen,Hitchcock,R,
H24,Lord Camber's Ladies,Hitchcok,R,
H24,Lord Camber's Ladies,Benn~Levy,N,
H25,Waltzes From Vienna,Hitchcock,R,
H26,The Man Who Knew Too Much,Hitchcock,R,
H27,The 39 Steps,Hitchcock,R,
H28,Secret Agent,Hitchcock,R,
H29,Sabotage,Hitchcock,R,
H30,Young and Innocent,Hitchcock,R,
H31,The Lady Vanishes,Hitchcock,R,
H32,Jamaica Inn,Hitchcock,R,
H33,Rebecca,Hitchcock,R,
H34,Foreign Correspondent,Hitchcock,R,
H35,Mr.~and Mrs.~Smith,Hitchcock,R,
H36,Suspicion,Hitchcock,R,
H37,Saboteur,Hitchcock,R,
H38,Shadow of a Doubt,Hitchcock,R,
H39,Lifeboat,Hitchcock,R,
H42,Spellbound,Hitchcock,R,
H43,Notorious,Hitchcock,R,
H44,The Paradine Case,Hitchcock,R,
H45,Rope,Hitchcock,R,
H46,Under Capricorn,Hitchcock,R,
H47,Stage Fright,Hitchcock,R,
H48,Strangers on a Train,Hitchcock,R,
H49,I Confess,Hitchcock,R,
H50,Dial M for Murder,Hitchcock,R,
H51,Rear Window,Hitchcock,R,
H52,To Catch a Thief,Hitchcock,R,
H53,The Trouble with Harry,Hitchcock,R,
H57,The Man Who Knew Too Much,Hitchcock,R,
H61,The Wrong Man,Hitchcock,R,
H65,Vertigo,Hitchcock,R,
H69,North by Northwest,Hitchcock,R,
H73,Psycho,Hitchcock,R,
H79,The Birds,Hitchcock,R,
H80,Marnie,Hitchcock,R,
H81,Torn Curtain,Hitchcock,R,
H82,Topaz,Hitchcock,R,
H83,Frenzy,Hitchcock,R,
H84,Family Plot,Hitchcock,R,
H40,Aventure Malgache,Hitchcock,R,
H41,Bon Voyage,Hitchcock,R,
H54,Revenge,Hitchcock,R,
H55,Breakdown,Hitchcock,R,
H56,The Case of Mr.~Pelham,Hitchcock,R,
H58,Back For Christmas,Hitchcock,R,
H59,Wet Saturday,Hitchcock,R,
H60,Mr.~Blanchhard's Secret,Hitchcock,R,
H62,One More Mile To Go,Hitchcock,R,
H63,Four O'Clock,Hitchcock,R,
H64,The Perfect Crime,Hitchcock,R,
H66,Lamb To The Slaughter,Hitchcock,R,
H67,A Dip In The Pool,Hitchcock,R,
H68,Poison,Hitchcock,R,
H70,Banquo's Chair,Hitchcock,R,
H71,Arthur,Hitchcock,R,
H72,The Crystal Trench,Hitchcock,R,
H74,Incident at a Corner,Hitchcock,R,
H75,Mrs.~Bixby and The Colonel's Coat,Hitchcock,R,
H76,The Horseplayer,Hitchcock,R,
H77,Bang! You're Dead,Hitchcock,R,
H78,I Saw The Whole Thing,Hitchcock,R,
WKD10,The Edison Kinetopic Record of A Sneeze,Dickson,R,
WKD50,"Terrible Teddy, the Grizzly King",Dickson,R,
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,A.Lumiere,R,
ALu2,La Sortie des Usines Lumi\`ere,A.Lumiere,R,
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,A.Lumiere,R,
ALu4,Le Gouter de B\'eb\'e,A.Lumiere,R,
ALu5,L'Arroseur arross\'e,A.Lumiere,R,
ALu6,Barque Quittant le Port,A.Lumiere,R,
ALu7,Boules,A.Lumiere,R,
ALu30,L'assissinatat du Duc de Guise,A.Lumiere,R,
ESP9,Jack and the Beanstalk,E.S.Porter,R,
ESP10,Uncle Tom's Cabin,E.S.Porter,R,
ESP11,Life of an American Fireman,E.S.Porter,R,
ESP12,The Great Train Robbery,E.S.Porter,R,
ESP16,The Little Train Robbery,E.S.Porter,R,
ESP17,The Kleptomaniac,E.S.Porter,R,
ESP25,The Count of Monte Christo,E.S.Porter,R,
ESP26,The Prisoner of Zenda,E.S.Porter,R,
ESP27,His Neighbor's Wife,E.S.Porter,R,
ESP28,Tess of the d'Ubervilles,E.S.Porter,R,
ESP30,An American Citizen,E.S.Porter,R,
ESP31,A Good Little Devil,E.S.Porter,R,
ESP32,In The Bishop's Carriage,E.S.Porter,R,
ESP33,Caprice,E.S.Porter,R,
ESP34,Hearts Adrift,E.S.Porter,R,
ESP40,Tess of The Storm Country,E.S.Porter,R,
GMs1,L'Escamontage d'une Dame,Melies,R,
GMs2,L'Homme orchestre,Melies,R,
GMs4,Cinderella,Melies,R,
GMs6,Le voyage dans la lune,Melies,R,
GMs8,Danseuse Microscopique,Melies,R,
GMs12,An Impossible Voyage,Melies,R,
GMs20,L'Homme a la Tete en Caoutchouc,Melies,R,
AMv10,The Downward Path,A. Marvin,R,
Z0001,Hamlet,Unknown0,R,
Z0002,Romea and Juliet,Unknown0,R,
Z0003,King Lear,Unknown0,R,
Z0004,Julius Cesar,Unknown0,R,
Z0005,Othello,Unknown0,R,
Z0006,Macbeth,Unknown0,R,
Z0007,Richard III,Unknown0,R,
WRB10,The Magic Sword or A Medieval Mystery,Booth,R,
CPa1,La Passion,Pathe,R,
CPa50,Les Mis\'erables,Pathe,R,
WHa1,The Maniac's Guillotine,Haggar,R,
WHa8,The Life of Charles Pierce,Haggar,R,
WMc10,Kit Carson,McCutcheon,R,
ThE10,Parsifal,Edison,R,
JaC1,The Wagon Trails,Cruze,R,
JaC7,Too Many Millions,Cruze,R,
JaC10,The Covered Wagon,Cruze,R,
JaC12,Hollywood,Cruze,R,
JaC15,Ruggles of Red Gap,Cruze,R,
JaC20,Beggars on Horseback,Cruze,R,
JaC23,Pony Express,Cruze,R,
JaC25,Old Ironsides,Cruze,R,
