['AA13', 'Pygmalion', '1938', '0.5', 'LuB0']
['AAl20', "Betsy's Wedding", '1990', '0. 8', 'VM9']
['ADx39', 'Babel Opera', '1983', '0. 6', 'JLo27']
['ADx45', "L'Oevre au Noir", '1988', '0.1', 'ACv10']
['AII1', 'The Adventures of Scaramouche', '1964', '0.9>', 'GSy11']
['AHa10', 'The Lion in Winter', '1968', '0.8', 'PeG5']
['AKe5', 'With Honors', '1994', '0.2', 'TGi28']
['AKe5', 'With Honors', '1994', '0.2', 'JaB2']
['AKe5', 'With Honors', '1994', '0.2', 'PWr12']
['AKe5', 'With Honors', '1994', '0.2', 'MBr19']
['AkK28', 'Ran', '1986', '0. 3', 'PeB6']
['AL27', 'The Journey', '1959', '0.3', 'C127']
['AMa29', "Charley's Aunt", '1941', '0.9', 'WaF48']
['AnL15', 'Crouching Tiger, Hidden Dragon', '2000', '0.3', 'KgH15']
['AnL15', 'Crouching Tiger, Hidden Dragon', '2000', '0.3', 'KgH10']
['APl10', "Let's Get Romantic", '1990', '0.85', '1-Jan']
['ARa10', 'The Shakiest Gun in the West', '1968', '0.9', 'NML26']
['ArP5', 'Bonnie and Clyde', '1967', '0. 6', 'JHL12']
['AVo10', 'Die T\\"ur mit den Sieben Schl\\:ossern', '1962', '0.9', 'NoL20']
['BCl1', 'Deathdream', '1972', '0. 8', 'NoL45']
['BCl4', 'Murder by Decree', '1979', '0. 8', 'H9']
['BdP10', 'Phantom of The Paradise', '1974', '0.1', 'RW1']
['BdP10', 'Phantom of The Paradise', '1974', '0.1', 'WlD36']
['BdP10', 'Phantom of The Paradise', '1974', '0.1', 'H73']
['BdP10', 'Phantom of The Paradise', '1974', '0.1', 'ALe2']
['BdP17', 'Body Double', '1984', '0. 1', 'H65']
['BdP17', 'Body Double', '1984', '0. 2', 'H51']
['BdP25', 'Raising Cain', '1992', '0.2', 'H73']
['BdP25', 'Raising Cain', '1992', '0.15', 'TYg25']
['BE34', 'Victor/Victoria', '1982', '0.2', 'BF8']
['BE45', 'Switch', '1991', '0.8', 'VM28']
['BF6', 'Cabaret', '1972', '0.3', 'BE7']
['BSc28', 'Single White Female', '1992', '0.2', 'AdL10']
['BSi13', 'City of Angels', '1998', '0.9', ' WiW20']
['BTh13', 'Dr.Dolittle', '1998', '0.9>', 'RiF25']
['C117', 'Daughters Courageous', '1938', '0. 8', 'C113']
['C146', 'Force of Arms', '1951', '0. 8', 'FB27']
['C165', 'The Vagabond King', '1956', '0. 6', 'FLl89']
['CaR5', 'The Comic', '1969', '0.5', 'CBm10']
['CaR20', "Dead Men Don't Wear Plaid", '1982', '0.2', 'ElN15']
['CaR20', "Dead Men Don't Wear Plaid", '1982', '0.2', 'HH28']
['CaR20', "Dead Men Don't Wear Plaid", '1982', '0.2', 'KV40']
['CaR35', 'Fatal Instinct', '1993', '0. 6', 'AdL10']
['CaR35', 'Fatal Instinct', '1993', '0. 2', 'PVh20']
['CaR35', 'Fatal Instinct', '1993', '0. 1', 'Jas44']
['CBu8', 'Notorious', '1989', '0. 9', 'H43']
['CBw29', 'Anna Karenina', '1935', '0.9', '10-Mar']
