H7,H,0
,,
H8,H,0
,,
H15,H,0
,,
H16,H,0
,,
H19,H,*
,,
H20,H,**
,,
H23,H,*
,,
H25,H,0
,,
H25,VIP,least favorite of Hitchcock
,,
H26,H,***
,,
H27,H,****
,,
H29,H,***
,,
H32,W50,
,,
H33,AA,
,,
H33,AANdir,
,,
H33,H,****
,,
H34,H,****
,,
H34,AAN,
,,
H37,H,***
,,
H38,VIP,two of everything
,,
H39,H,**
,,
H39,AANdir,
,,
H42,H,**
,,
H42,AAN,
,,
H42,AANdir,
,,
H43,H,***
,,
H43,AFISp,38
,,
H44,H,**
,,
H45,H,**
,,
H48,H,***
,,
H48,AFISp,32
,,
H50,H,**
,,
H51,H,***
,,
H51,AANdir,
,,
H51,AFISp,14
,,
H57,H,*
,,
H65,H,**
,,
H69,H,****
,,
H69,AFISp,7
,,
H73,AANdir,
,,
H73,NFR,
,,
H73,VIP,Zinneman
,,
H73,AFISp,1
,,
H79,H,***
,,
H79,AFISp,7
,,
H81,H,**
,,
H82,H,*
,,
H83,H,*
,,
ESP12,H,***
,,
DWG51,NFR,
,,
DWG51,CC,#8
,,
DWG52,H,***
,,
DWG57,H,**
,,
DWG64,H,**
,,
DWG67,H,*
,,
DWG71,H,**
,,
DWG80,W50,
,,
ThI18,H,v
,,
ThI20,H,v
,,
ThI40,H,***
,,
ThI60,H,v
,,
ADw17,H,**
,,
ADw35,H,*
,,
ADw40,H,0
,,
ADw41,H,*
,,
ADw45,H,**
,,
ADw45,VIP,Gore Vidal
,,
ADw70,H,0
,,
AEG39,H,*
,,
AEG41,H,*
,,
AEG60,H,****
,,
AEG70,H,0
,,
JCw50,H,0
,,
JCw61,H,**
,,
JCw61,AAN,
,,
JCw61,VIP,Gore Vidal
,,
JCw62,Fun,#77
,,
JCw62,H,**
,,
JCw62,AAN,
,,
ME240,H,0
,,
MSt30,H,*
,,
MSt53,H,*
,,
VSj7,H,*
,,
VSj8,H,***
,,
CDM51,H,**
,,
CDM56,H,***
,,
CDM59,AAN,
,,
CDM59,H,**
,,
CDM68,H,not
,,
CDM73,H,**
,,
CDM77,H,0
,,
CDM79,AA,
,,
CDM80,AAN,
,,
CDM80,H,*
,,
GBS92,H,0
,,
