AA13,Pygmalion,Leslie Howard,Sci,smug professor,Higgins,AAN
AA13,Pygmalion,Wendy Hiller,Inn,flower girl,Eliza,AAN
AA13,Pygmalion,Wilfrid Lawson,Sdk,Eliza's father,Dolittle,
AA13,Pygmalion,Scott Sunderland,Und,betting Colonel,Pickering,
AA13,Pygmalion,Marie Lohr,Und,,Mrs.Higgins,
AA13,Pygmalion,Iris Hoey,Und,,,
AA13,Pygmalion,David Tree,Und,fop,Freddie Eynsford-Hill,
AA13,Pygmalion,Esme Percy,Und,,,
AA13,Pygmalion,Everley Gregg,Und,,,
AA13,Pygmalion,O.B. Clarence,Und,,,
AA13,Pygmalion,Jean Cadell,Und,,,
AA14,French Without Tears,Ray Milland,Und,schoolboy,,
AA14,French Without Tears,Ellen Drew,Und,teacher,,
AA14,French Without Tears,Guy Middleton,Und,schoolboy,,
AA14,French Without Tears,Ronald Culver,Und,schoolboy,,
AA16,Quiet Wedding,Margaret Lockwood,Und,bride,,
AA16,Quiet Wedding,Derek Farr,Und,bridegroom,,
AA16,Quiet Wedding,A.E. Matthews,Und,,,
AA16,Quiet Wedding,Marjorie Fielding,Und,mother,,
AA16,Quiet Wedding,Athene Seyler,Und,,,
AA16,Quiet Wedding,Peggy Ashcroft,Und,,,
AA16,Quiet Wedding,Margaretta Scott,Und,,,
AA16,Quiet Wedding,Bernard Miles,Und,,,
AA29,The Importance of Being Earnest,Michael Redgrave,Und,bachelor,Earnest,
AA29,The Importance of Being Earnest,Michael Denison,Und,bachelor,,
AA29,The Importance of Being Earnest,Edith Evans,Und,rich daughter,,
AA29,The Importance of Being Earnest,Margaret Rurtherford,Und,,,
AA29,The Importance of Being Earnest,Joan Greenwood,Und,,,
AA29,The Importance of Being Earnest,Miles Malleson,Und,,,
AA29,The Importance of Being Earnest,Doroty Tutin,Und,,,
AA29,The Importance of Being Earnest,Walter Hudd,Und,,,
AA37,Libel,Dirk Bogarde,Und,,,
AA37,Libel,Olivia deHavilland,Und,,,
AA37,Libel,Paul Massie,Und,,,
AA37,Libel,Wilfrid Hyde White,Und,,,
AA37,Libel,Robert Morley,Und,,,
AA37,Libel,Anthony Dawson,Und,,,
AA37,Libel,Richard Wattis,Und,,,
AA37,Libel,Martin Miller,Und,,,
AA37,Libel,Millicent Martin,Und,,,
AA38,The Millionairess,Peter Sellers,Und,poor Indian doctor,,
AA38,The Millionairess,Sophia Loren,Und,"millionairess, falls for doctor",,
AA38,The Millionairess,Alastair Sim,Und,,,
AA38,The Millionairess,Vittorio deSics,Und,,,
AA38,The Millionairess,Dennis Price,Und,,,
AA38,The Millionairess,Gary Raymond,Und,,,
AA38,The Millionairess,Alfie Bass,Und,,,
AA41,The VIPs,Richard Burton,Und,delayed passenger,,
AA41,The VIPs,Elizabeth Taylor,Und,delayed passenger,,
AA41,The VIPs,Maggie Smith,Und,,,
AA41,The VIPs,Rod Taylor,Und,,,
AA41,The VIPs,Margaret Rutherford,Und,,,AA
AA41,The VIPs,Louis Jordon,Und,,,
AA41,The VIPs,Elsa Martinelli,Und,,,
AA41,The VIPs,Orson Welles,Und,,,
AA41,The VIPs,Linda Chistian,Und,,,
AA41,The VIPs,Dennis Price,Und,,,
AA41,The VIPs,Richard Wattis,Und,,,
AA41,The VIPs,David Frost,Und,,,
AA41,The VIPs,Robert Coote,Und,,,
AA41,The VIPs,Joan Benham,Und,,,
AA41,The VIPs,Michael Hodern,Und,,,
AA41,The VIPs,Lance Percival,Und,,,
AA41,The VIPs,Martin Miller,Und,,,
AaB10,A Private Function,Michael Palin,Und,podiatrist,,
AaB10,A Private Function,Maggie Smith,Und,ambitious wife,,BFA
AaB10,A Private Function,Denholm Elliott,Und,,,BFA
AaB10,A Private Function,Richard Griffiths,Und,,,
AaB10,A Private Function,Tony Haygarth,Und,,,
AaB10,A Private Function,Liz Smith,Und,,,BFA
AaB10,A Private Function,John Normington,Und,,,
AaB10,A Private Function,s a,Ani,"fattened, unlicensed pig",,
AAd10,Shrek,sa,"Voi, Her",ogre,Shrek,
AAd10,Shrek,Eddie Murphy,"Voi, Sdk",donkey,,
AAd10,Shrek,Cameron Diaz,Voi,princess,Leila,
